n,ij,ji
3125,64.36,67.64
3126,70.51,79.56
3127,72.25,78.94
3128,64.34,65.84
3129,64.94,68.10
3130,68.24,71.88
3131,64.79,71.85
3132,64.86,72.07
3133,64.60,70.28
3134,81.80,87.47
3135,80.56,84.95
3136,64.64,68.61
3137,64.68,68.90
3138,64.62,72.02
3139,65.39,72.47
3140,65.13,68.95
3141,64.68,69.92
3142,68.97,74.62
3143,70.89,75.95
3144,68.07,69.68
3145,63.55,69.53
3146,65.99,70.66
3147,64.63,70.73
3148,67.34,67.34
3149,65.68,72.15
3150,71.14,78.06
3151,70.81,79.02
3152,65.55,74.31
3153,65.88,70.43
3154,66.90,73.10
3155,66.38,71.67
3156,67.13,75.89
3157,66.65,75.36
3158,70.65,81.39
3159,71.52,79.98
3160,65.90,72.63
3161,66.13,72.60
3162,65.57,71.07
3163,65.50,70.53
3164,66.36,74.28
3165,68.90,74.25
3166,81.22,87.55
3167,82.35,86.59
3168,66.44,74.36
3169,66.21,72.61
3170,65.57,71.21
3171,64.50,70.59
3172,66.22,70.54
3173,66.15,71.70
3174,70.44,75.92
3175,70.62,76.56
3176,67.38,72.40
3177,67.96,71.90
3178,67.04,73.50
3179,67.08,73.43
3180,72.78,73.61
3181,66.76,71.58
3182,72.36,82.25
3183,72.17,80.79
3184,67.13,71.29
3185,67.52,71.11
3186,67.74,73.33
3187,67.00,73.05
3188,67.05,73.15
3189,67.10,70.48
3190,72.34,79.46
3191,71.56,78.73
3192,66.82,72.14
3193,67.62,71.70
3194,66.08,70.79
3195,67.05,70.92
3196,67.29,69.65
3197,66.06,70.82
3198,94.30,100.46
3199,99.86,113.11
3200,69.67,73.56
3201,70.68,73.57
3202,70.08,76.72
3203,68.46,75.19
3204,68.71,73.91
3205,69.06,74.34
3206,73.11,79.26
3207,73.03,79.24
3208,68.63,73.18
3209,68.40,73.92
3210,67.36,72.86
3211,67.98,71.80
3212,68.59,72.12
3213,82.15,69.92
3214,81.67,82.85
3215,76.51,86.77
3216,68.55,77.18
3217,68.73,76.95
3218,68.51,75.92
3219,70.23,75.23
3220,67.12,73.64
3221,66.25,74.09
3222,72.56,86.08
3223,72.22,83.20
3224,69.27,77.31
3225,69.01,79.55
3226,68.91,78.72
3227,69.12,80.98
3228,69.34,77.97
3229,70.42,79.29
3230,82.27,94.46
3231,82.87,93.84
3232,69.67,77.94
3233,69.55,78.88
3234,69.43,78.30
3235,69.47,78.00
3236,72.38,77.07
3237,68.79,78.22
3238,74.05,85.16
3239,73.77,84.67
3240,68.18,75.48
3241,69.12,76.23
3242,69.45,78.78
3243,69.96,78.80
3244,69.30,77.42
3245,69.78,80.20
3246,71.96,88.22
3247,72.68,89.72
3248,68.95,74.79
3249,69.91,76.21
3250,69.31,74.40
3251,68.62,75.75
3252,69.88,80.24
3253,68.42,71.00
3254,74.58,81.90
3255,74.22,79.10
3256,69.79,74.30
3257,70.11,73.88
3258,70.03,77.83
3259,71.38,77.55
3260,70.77,74.05
3261,70.87,74.27
3262,87.79,89.96
3263,89.02,88.20
3264,70.45,74.00
3265,71.46,74.67
3266,71.09,79.66
3267,72.56,79.11
3268,71.37,76.40
3269,71.78,77.30
3270,72.94,84.48
3271,73.61,81.51
3272,72.14,76.67
3273,71.87,82.14
3274,69.77,80.72
3275,72.82,79.77
3276,72.60,77.86
3277,71.98,76.82
3278,78.70,85.31
3279,79.77,83.23
3280,68.81,69.17
3281,68.07,69.44
3282,69.92,76.32
3283,74.35,75.94
3284,72.64,76.59
3285,71.30,79.25
3286,80.16,87.51
3287,76.87,85.23
3288,72.38,82.75
3289,73.52,82.07
3290,71.37,80.04
3291,71.19,79.15
3292,72.35,83.37
3293,72.52,82.03
3294,90.58,96.14
3295,88.25,96.76
3296,72.00,81.30
3297,72.09,82.12
3298,70.92,82.92
3299,70.92,78.48
3300,70.08,76.18
3301,73.95,76.30
3302,75.20,85.04
3303,76.46,87.57
3304,70.03,75.45
3305,71.31,75.57
3306,72.91,82.23
3307,73.21,81.62
3308,73.43,80.85
3309,73.98,82.33
3310,78.09,114.10
3311,81.34,98.92
3312,73.68,81.92
3313,73.00,82.52
3314,74.20,81.52
3315,75.37,84.11
3316,74.53,84.17
3317,73.70,82.59
3318,78.11,97.07
3319,79.07,93.98
3320,74.14,82.11
3321,73.77,82.35
3322,72.88,84.24
3323,78.66,82.30
3324,74.02,87.13
3325,72.81,85.50
3326,123.66,143.29
3327,135.58,145.72
3328,73.42,80.61
3329,79.30,81.09
3330,74.42,81.53
3331,75.96,81.64
3332,70.82,78.12
3333,71.78,78.01
3334,79.36,89.19
3335,78.95,89.68
3336,75.50,83.58
3337,74.34,84.11
3338,74.15,84.80
3339,74.73,84.50
3340,76.46,85.82
3341,74.25,86.48
3342,78.48,89.94
3343,81.05,85.16
3344,73.78,78.83
3345,74.19,76.65
3346,74.02,80.70
3347,76.05,81.41
3348,73.26,75.13
3349,78.12,77.01
3350,79.50,86.34
3351,79.09,85.29
3352,74.73,79.85
3353,75.79,80.52
3354,74.01,82.83
3355,77.48,81.42
3356,76.07,79.84
3357,75.07,78.98
3358,89.17,97.23
3359,95.01,96.87
3360,74.30,80.85
3361,82.42,86.97
3362,74.10,82.39
3363,75.15,83.63
3364,75.99,85.65
3365,76.07,86.34
3366,79.09,92.02
3367,80.71,92.81
3368,73.16,83.54
3369,73.32,80.70
3370,75.30,84.54
3371,74.98,84.82
3372,74.99,85.12
3373,73.79,81.04
3374,82.61,90.39
3375,83.74,90.95
3376,74.02,78.20
3377,75.01,77.98
3378,79.97,83.13
3379,75.79,84.01
3380,75.83,81.52
3381,77.22,82.17
3382,80.93,89.90
3383,82.43,88.56
3384,76.00,80.94
3385,76.71,81.51
3386,74.75,81.98
3387,74.59,82.96
3388,76.24,81.82
3389,76.84,84.59
3390,95.52,101.62
3391,94.18,102.95
3392,76.47,81.42
3393,76.06,81.21
3394,76.01,83.00
3395,77.79,84.28
3396,76.47,81.93
3397,76.31,82.56
3398,96.51,92.38
3399,80.87,92.03
3400,76.53,85.28
3401,76.48,86.19
3402,76.97,87.39
3403,77.17,87.33
3404,76.73,87.27
3405,76.77,87.10
3406,84.16,104.96
3407,83.83,102.45
3408,76.92,85.69
3409,76.75,86.81
3410,77.19,86.79
3411,78.33,88.62
3412,77.16,87.39
3413,76.55,86.81
3414,80.61,92.18
3415,80.31,91.79
3416,77.03,86.69
3417,78.27,86.72
3418,75.83,87.56
3419,77.36,86.84
3420,75.55,86.68
3421,75.87,84.97
3422,90.63,111.48
3423,91.30,111.02
3424,76.93,88.25
3425,83.06,89.06
3426,77.58,86.17
3427,77.40,87.05
3428,77.85,87.96
3429,77.33,87.89
3430,83.29,95.83
3431,83.70,97.55
3432,77.74,88.18
3433,77.84,89.39
3434,78.95,89.80
3435,78.76,92.07
3436,78.92,93.48
3437,77.57,91.69
3438,85.62,109.27
3439,86.07,113.66
3440,78.87,88.32
3441,78.38,88.39
3442,81.52,87.70
3443,79.88,88.98
3444,79.22,89.43
3445,79.43,90.60
3446,82.39,96.69
3447,84.83,97.84
3448,79.88,87.04
3449,78.49,87.33
3450,80.31,93.67
3451,80.35,94.96
3452,79.83,93.81
3453,79.80,94.97
3454,109.23,157.72
3455,122.15,152.81
3456,80.04,88.68
3457,79.82,90.06
3458,79.86,87.81
3459,79.77,85.26
3460,79.27,82.89
3461,79.16,84.39
3462,87.40,91.36
3463,85.97,93.46
3464,80.26,85.09
3465,79.96,84.33
3466,79.30,85.67
3467,79.30,86.72
3468,80.70,87.23
3469,79.78,87.31
3470,87.46,95.71
3471,87.52,96.69
3472,79.81,86.69
3473,81.28,87.66
3474,78.11,84.82
3475,79.28,85.02
3476,80.84,87.19
3477,80.67,87.60
3478,86.38,94.95
3479,86.94,93.72
3480,81.62,87.63
3481,82.10,85.20
3482,80.89,88.21
3483,80.97,89.08
3484,80.33,88.16
3485,81.33,87.61
3486,97.09,101.67
3487,98.67,102.64
3488,81.20,86.59
3489,82.36,89.46
3490,81.54,89.77
3491,83.01,89.57
3492,81.23,87.20
3493,80.68,87.12
3494,87.98,96.87
3495,87.42,96.47
3496,82.46,88.76
3497,83.91,89.07
3498,82.92,89.38
3499,82.14,92.00
3500,82.32,90.19
3501,82.30,90.30
3502,88.41,100.24
3503,91.91,100.47
3504,81.08,85.33
3505,81.97,88.53
3506,83.80,92.16
3507,84.38,92.61
3508,83.25,89.92
3509,88.04,92.73
3510,90.32,100.58
3511,89.89,101.43
3512,85.17,92.76
3513,84.62,92.08
3514,85.96,96.39
3515,86.34,97.74
3516,83.78,96.86
3517,86.78,96.13
3518,106.12,112.63
3519,107.98,112.97
3520,83.46,89.46
3521,86.39,91.71
3522,85.06,94.95
3523,87.07,96.85
3524,85.70,94.69
3525,85.96,93.69
3526,90.92,99.00
3527,93.79,100.18
3528,85.45,94.15
3529,88.66,93.47
3530,84.96,91.04
3531,84.83,94.34
3532,84.27,90.95
3533,86.52,92.10
3534,93.20,104.32
3535,93.80,105.79
3536,85.89,91.57
3537,83.83,90.70
3538,88.00,95.46
3539,88.44,96.34
3540,86.61,94.03
3541,86.83,94.13
3542,92.13,101.16
3543,92.52,103.07
3544,85.33,90.81
3545,84.22,90.21
3546,87.80,96.76
3547,90.92,98.96
3548,87.50,99.16
3549,86.66,95.92
3550,105.71,127.64
3551,104.59,129.68
3552,87.65,91.17
3553,85.68,94.15
3554,85.22,94.00
3555,87.62,96.36
3556,85.84,94.04
3557,87.31,94.42
3558,93.54,101.94
3559,92.36,101.71
3560,86.17,95.20
3561,88.77,95.63
3562,87.24,96.09
3563,87.02,96.87
3564,87.40,97.43
3565,87.38,97.03
3566,97.53,112.96
3567,102.30,111.04
3568,85.52,90.46
3569,85.31,92.66
3570,86.28,94.55
3571,88.86,97.56
3572,92.35,93.19
3573,86.07,92.45
3574,94.59,110.08
3575,93.11,104.54
3576,87.15,96.07
3577,87.68,94.60
3578,91.36,96.84
3579,89.03,97.30
3580,86.39,96.42
3581,86.54,94.71
3582,159.28,153.80
3583,157.10,153.81
3584,87.46,91.95
3585,86.44,95.62
3586,87.70,96.36
3587,88.83,96.18
3588,87.13,98.63
3589,91.63,97.49
3590,92.52,103.62
3591,94.22,104.06
3592,86.76,95.37
3593,85.95,94.82
3594,87.58,96.98
3595,90.40,97.39
3596,88.03,100.96
3597,88.66,101.47
3598,95.19,116.38
3599,95.21,117.40
3600,88.20,98.97
3601,89.97,100.46
3602,90.91,102.10
3603,89.14,97.96
3604,90.08,97.93
3605,87.55,98.45
3606,95.26,107.01
3607,93.98,105.47
3608,88.87,97.53
3609,90.16,100.32
3610,87.73,98.18
3611,87.03,96.48
3612,87.23,98.38
3613,91.16,100.35
3614,107.37,111.02
3615,106.70,126.30
3616,86.35,98.03
3617,87.60,98.90
3618,89.41,98.34
3619,89.09,98.66
3620,89.87,101.15
3621,88.89,100.74
3622,95.75,105.78
3623,96.42,107.73
3624,91.70,100.16
3625,90.28,101.10
3626,90.40,101.82
3627,90.37,102.29
3628,92.15,103.10
3629,91.54,101.31
3630,97.80,130.28
3631,98.97,124.93
3632,88.40,98.96
3633,88.97,100.06
3634,91.05,96.95
3635,92.15,99.53
3636,94.24,100.31
3637,91.99,100.88
3638,98.10,110.76
3639,97.49,109.02
3640,91.47,101.63
3641,92.02,103.00
3642,90.19,102.90
3643,90.44,103.13
3644,92.07,106.22
3645,92.36,105.49
3646,112.41,168.90
3647,111.31,169.81
3648,90.48,101.13
3649,89.66,103.42
3650,90.86,102.50
3651,91.16,103.06
3652,90.09,103.89
3653,90.50,104.29
3654,96.52,108.39
3655,97.42,110.17
3656,90.75,99.73
3657,90.74,100.80
3658,90.80,102.69
3659,91.55,101.88
3660,92.14,104.15
3661,92.95,103.21
3662,99.34,121.75
3663,99.10,123.70
3664,90.52,102.66
3665,92.08,104.21
3666,92.92,100.31
3667,90.50,100.06
3668,89.02,97.34
3669,88.39,97.00
3670,98.25,110.22
3671,98.44,112.07
3672,91.53,99.90
3673,92.35,102.34
3674,90.67,101.44
3675,91.54,99.51
3676,91.55,105.26
3677,91.30,105.66
3678,112.45,133.80
3679,114.21,135.15
3680,90.17,101.97
3681,91.52,102.55
3682,92.83,104.08
3683,93.81,102.95
3684,92.94,104.49
3685,105.86,115.90
3686,100.89,110.82
3687,101.18,109.02
3688,94.20,104.72
3689,95.08,104.84
3690,95.95,107.79
3691,94.31,107.18
3692,95.68,105.96
3693,93.29,104.93
3694,106.09,121.68
3695,105.70,120.62
3696,92.86,102.91
3697,93.17,102.78
3698,93.53,102.12
3699,93.51,105.86
3700,92.64,101.01
3701,111.48,137.10
3702,132.46,130.10
3703,109.74,120.97
3704,97.34,109.07
3705,94.99,110.61
3706,96.55,112.07
