n,add,in
761,2.31,0.47
762,1.86,0.65
763,1.08,0.45
764,1.22,0.42
765,1.29,0.42
766,4.53,2.58
767,4.67,2.83
768,1.46,0.59
769,1.52,0.66
770,1.19,0.38
771,1.84,0.58
772,1.59,0.75
773,1.17,0.46
774,1.53,0.48
775,1.59,0.65
776,1.20,0.41
777,1.45,0.47
778,1.72,0.61
779,1.34,0.46
780,1.23,0.41
781,1.42,0.49
782,2.30,0.99
783,2.02,0.64
784,1.31,0.49
785,1.78,0.55
786,1.97,0.62
787,1.92,0.64
788,1.84,0.51
789,1.63,0.50
790,2.08,0.60
791,1.83,0.79
792,1.42,0.63
793,2.03,0.63
794,1.32,0.40
795,1.43,0.49
796,1.57,0.59
797,1.96,1.10
798,2.59,1.36
799,2.27,1.42
800,1.28,0.42
801,1.86,0.70
802,1.82,0.69
803,1.86,0.60
804,2.28,0.95
805,2.37,1.07
806,2.03,0.72
807,2.09,0.66
808,1.60,0.53
809,1.66,0.55
810,2.72,0.74
811,2.16,0.79
812,2.81,0.84
813,2.36,1.18
814,3.63,1.58
815,3.77,2.52
816,2.36,0.94
817,1.66,0.60
818,1.72,1.06
819,2.10,0.86
820,3.36,0.78
821,2.40,0.62
822,3.06,1.41
823,2.34,1.21
824,1.74,0.91
825,1.66,0.59
826,1.46,0.52
827,1.66,0.61
828,1.66,0.58
829,1.84,0.74
830,3.17,3.00
831,3.70,1.70
832,2.27,0.60
833,2.10,0.86
834,1.63,0.56
835,1.80,0.56
836,1.62,0.57
837,1.64,0.66
838,2.16,1.02
839,2.88,0.80
840,2.38,0.79
841,2.37,0.86
842,2.47,0.96
843,1.70,0.67
844,1.67,0.58
845,1.59,0.83
846,2.40,0.84
847,2.61,0.86
848,1.56,0.54
849,2.10,0.72
850,1.82,0.59
851,1.90,1.01
852,1.71,0.57
853,1.91,0.58
854,2.14,0.79
855,2.29,0.84
856,2.17,0.81
857,2.18,0.64
858,1.77,0.61
859,1.70,0.69
860,1.93,1.05
861,1.97,0.64
862,2.70,1.59
863,2.39,1.39
864,1.96,0.83
865,2.61,0.99
866,2.61,0.98
867,1.73,0.67
868,2.04,0.66
869,1.73,0.73
870,2.01,1.07
871,2.58,0.96
872,2.01,0.67
873,2.04,0.68
874,2.13,0.78
875,1.94,0.91
876,1.71,1.08
877,2.31,0.70
878,2.70,0.90
879,2.54,0.84
880,1.61,0.85
881,1.80,0.98
882,1.70,0.53
883,1.65,0.54
884,2.19,0.63
885,2.12,0.68
886,2.12,0.80
887,2.14,0.73
888,2.37,0.70
889,1.81,0.59
890,2.07,0.73
891,1.95,0.62
892,2.29,0.73
893,1.73,0.59
894,4.36,2.82
895,3.84,2.67
896,2.10,0.59
897,2.04,0.66
898,1.86,0.75
899,1.70,0.59
900,1.69,0.65
901,1.72,0.60
902,2.13,0.69
903,1.96,0.68
904,1.95,0.62
905,1.72,0.56
906,1.66,0.70
907,1.69,0.56
908,1.69,0.56
909,1.74,0.58
910,2.36,0.83
911,3.46,1.19
912,1.90,0.56
913,1.69,0.55
914,1.89,0.58
915,1.99,0.67
916,2.05,0.88
917,1.93,0.72
918,2.34,0.80
919,2.21,0.72
920,1.74,0.58
921,1.97,0.58
922,1.92,0.54
923,1.94,0.57
924,2.70,1.04
925,3.14,1.18
926,3.79,2.37
927,3.98,2.49
928,2.44,0.90
929,2.24,0.80
930,1.94,0.70
931,1.97,0.55
932,2.07,0.90
933,3.18,1.21
934,3.03,1.69
935,3.24,1.17
936,2.80,0.96
937,2.85,1.62
938,3.15,1.26
939,2.04,0.78
940,2.03,0.73
941,2.01,0.68
942,2.85,1.27
943,2.78,0.90
944,1.93,0.72
945,2.19,0.70
946,2.00,0.73
947,3.10,1.52
948,2.44,1.23
949,3.35,1.01
950,3.17,1.05
951,3.78,1.65
952,2.89,1.84
953,2.31,0.82
954,2.89,1.00
955,2.15,1.35
956,2.27,1.33
957,3.02,1.05
958,4.72,2.36
959,3.60,2.85
960,2.27,1.16
961,2.57,1.01
962,2.59,0.85
963,2.53,0.76
964,2.32,0.74
965,2.28,0.76
966,2.83,1.03
967,2.82,0.99
968,2.12,0.76
969,2.26,0.78
970,2.22,0.78
971,2.30,0.90
972,2.44,0.84
973,2.49,1.17
974,4.18,1.22
975,3.73,1.19
976,2.79,1.06
977,2.28,0.93
978,2.65,1.31
979,3.04,1.02
980,2.38,0.86
981,2.75,0.98
982,2.80,1.07
983,2.79,1.36
984,2.69,1.09
985,2.75,0.91
986,2.38,0.92
987,2.36,0.90
988,2.34,0.89
989,2.54,0.93
990,2.83,2.08
991,2.67,2.06
992,2.29,0.74
993,3.34,0.93
994,3.04,1.14
995,2.58,1.26
996,2.31,1.68
997,2.69,1.19
998,3.72,1.42
999,3.16,1.43
1000,2.35,0.99
1001,2.85,0.89
1002,2.06,0.90
1003,1.92,0.81
1004,2.24,1.04
1005,2.25,0.85
1006,2.74,1.01
1007,2.83,1.09
1008,1.93,1.05
1009,1.86,0.96
1010,2.06,1.00
1011,2.08,1.01
1012,1.89,0.99
1013,1.76,0.83
1014,2.95,1.12
1015,3.11,1.03
1016,1.74,0.90
1017,1.72,0.81
1018,2.11,0.99
1019,2.25,1.02
1020,1.72,0.80
1021,1.90,0.97
1022,4.90,4.91
1023,4.81,4.88
1024,1.93,0.79
1025,1.93,0.78
1026,2.19,0.95
1027,1.89,1.05
1028,2.22,0.96
1029,3.48,0.92
1030,3.47,1.30
1031,3.57,1.24
1032,2.96,1.02
1033,1.93,1.07
1034,3.05,1.12
1035,3.31,1.22
1036,2.49,1.34
1037,3.33,1.23
1038,2.95,1.55
1039,2.88,1.15
1040,2.41,1.10
1041,1.97,0.97
1042,2.65,1.03
1043,2.79,1.19
1044,2.18,1.03
1045,2.07,1.01
1046,3.60,1.29
1047,3.46,1.29
1048,2.02,1.13
1049,2.31,1.06
1050,2.20,1.75
1051,2.33,1.01
1052,2.07,1.06
1053,2.48,1.04
1054,3.42,1.48
1055,3.14,1.77
1056,2.14,1.06
1057,2.81,1.11
1058,2.20,1.06
1059,2.33,2.03
1060,2.15,1.90
1061,2.08,1.15
1062,2.78,1.43
1063,4.06,1.19
1064,2.19,1.04
1065,2.27,1.13
1066,2.23,1.16
1067,2.80,1.22
1068,2.49,1.03
1069,2.40,0.94
1070,2.89,1.13
1071,2.98,1.45
1072,2.15,1.09
1073,2.39,1.15
1074,2.38,1.02
1075,2.27,1.10
1076,2.14,1.34
1077,2.40,1.01
1078,3.95,2.19
1079,2.97,1.36
1080,2.19,1.15
1081,2.19,1.67
1082,3.55,1.41
1083,2.36,1.12
1084,2.24,1.16
1085,2.37,1.15
1086,6.57,4.43
1087,6.35,2.95
1088,2.48,1.23
1089,3.12,2.18
1090,2.99,1.29
1091,2.46,1.21
1092,2.44,1.47
1093,3.27,1.97
1094,3.13,1.39
1095,3.04,1.65
1096,2.36,1.27
1097,3.10,1.62
1098,2.59,1.72
1099,2.53,1.32
1100,2.50,1.26
1101,3.29,1.51
1102,3.90,2.24
1103,5.85,2.14
1104,3.14,1.72
1105,3.93,1.98
1106,2.56,1.92
1107,3.40,2.12
1108,2.68,1.90
1109,3.14,1.82
1110,4.70,2.89
1111,3.32,3.40
1112,3.36,1.40
1113,2.87,1.34
1114,3.92,1.64
1115,2.58,1.26
1116,2.52,1.31
1117,3.24,2.75
1118,3.76,2.00
1119,3.72,1.57
1120,3.15,1.42
1121,2.53,1.51
1122,2.62,2.16
1123,3.56,1.41
1124,3.06,1.32
1125,2.47,2.00
1126,5.51,5.23
1127,10.04,3.37
1128,3.35,1.95
1129,3.26,1.56
1130,3.48,1.91
1131,3.00,1.97
1132,3.17,1.58
1133,3.70,1.67
1134,4.15,1.83
1135,3.98,1.68
1136,2.75,1.47
1137,4.12,2.83
1138,5.45,2.52
1139,4.03,2.02
1140,3.39,1.86
1141,3.71,2.03
1142,4.13,1.82
1143,4.11,1.98
1144,4.83,2.41
1145,4.23,2.49
1146,5.55,2.27
1147,3.20,1.61
1148,4.27,1.71
1149,3.17,1.76
1150,7.93,7.05
1151,8.58,4.72
1152,4.42,1.83
1153,4.15,1.72
1154,4.12,1.81
1155,4.29,1.83
1156,4.03,2.11
1157,3.70,2.90
1158,4.68,2.25
1159,4.45,2.11
1160,3.55,1.56
1161,3.28,2.24
1162,3.67,1.70
1163,4.46,1.45
1164,3.01,2.07
1165,3.12,1.77
1166,4.68,1.95
1167,5.73,1.97
1168,3.06,1.51
1169,3.00,1.65
1170,3.60,1.49
1171,2.80,1.34
1172,3.47,1.50
1173,2.72,1.43
1174,3.58,1.58
1175,3.61,1.67
1176,3.00,1.44
1177,3.60,1.69
1178,2.88,1.52
1179,2.84,1.40
1180,2.88,1.42
1181,2.85,1.45
1182,4.17,1.87
1183,3.78,1.73
1184,3.00,1.45
1185,2.78,1.38
1186,2.99,1.40
1187,3.02,1.84
1188,2.80,1.43
1189,3.60,1.55
1190,4.09,2.08
1191,5.25,2.30
1192,2.94,1.82
1193,3.05,1.49
1194,2.91,1.38
1195,2.94,1.38
1196,3.60,1.77
1197,3.07,1.74
1198,4.81,1.78
1199,4.16,1.72
1200,3.63,1.56
1201,4.51,1.65
1202,4.14,1.57
1203,4.10,2.00
1204,3.87,1.70
1205,4.55,1.70
1206,5.51,2.14
1207,4.53,2.16
1208,3.90,1.86
1209,3.41,1.80
1210,4.94,2.63
1211,4.90,2.16
1212,4.18,2.88
1213,4.46,2.04
1214,5.24,3.94
1215,5.84,3.97
1216,3.21,1.68
1217,3.54,1.87
1218,3.15,1.91
1219,3.32,1.53
1220,3.22,2.08
1221,3.34,1.66
1222,4.09,1.83
1223,4.31,1.82
1224,3.49,2.11
1225,3.32,1.77
1226,3.40,1.73
1227,3.28,1.63
1228,4.15,1.76
1229,3.35,1.72
1230,4.86,2.44
1231,5.01,2.32
1232,3.21,2.11
1233,3.66,1.83
1234,3.33,1.51
1235,3.36,1.64
1236,3.80,1.88
1237,3.35,1.66
1238,5.11,2.17
1239,4.77,2.23
1240,3.54,1.85
1241,3.28,2.17
1242,3.58,1.82
1243,3.78,1.62
1244,3.53,3.51
1245,3.55,1.70
1246,6.11,2.08
1247,4.94,2.87
1248,3.55,2.63
1249,3.59,2.52
1250,4.04,2.15
1251,4.27,2.26
1252,4.06,2.13
1253,4.00,1.75
1254,4.78,2.07
1255,4.77,2.79
1256,3.84,2.69
1257,4.48,1.92
1258,4.60,1.72
1259,3.95,1.77
1260,3.83,2.65
1261,3.72,2.51
1262,5.64,2.10
1263,5.60,2.79
1264,4.42,2.19
1265,4.06,1.84
1266,4.50,2.98
1267,3.73,2.55
1268,3.67,1.83
1269,4.63,1.87
1270,5.75,2.37
1271,5.29,2.63
1272,4.05,2.61
1273,4.83,2.59
1274,5.43,2.86
1275,3.80,2.38
1276,4.07,2.08
1277,4.01,2.09
1278,9.37,8.12
1279,10.29,8.28
1280,4.16,1.96
1281,3.72,2.06
1282,3.80,1.80
1283,4.07,1.80
1284,3.71,1.89
1285,3.69,1.92
1286,4.90,2.20
1287,5.09,2.34
1288,3.88,2.36
1289,3.80,1.87
1290,4.00,1.88
1291,4.03,1.87
1292,3.88,1.92
1293,4.04,1.86
1294,5.32,2.25
1295,5.63,2.65
1296,3.78,2.22
1297,3.82,1.86
1298,4.09,1.98
1299,3.96,1.82
1300,3.93,1.93
1301,4.02,1.94
1302,5.93,2.58
1303,5.13,2.37
1304,3.96,2.01
1305,3.98,1.99
1306,4.17,2.28
1307,3.99,2.37
1308,3.97,2.02
1309,3.93,1.94
1310,5.18,2.38
1311,6.07,2.78
1312,3.98,1.98
1313,4.03,1.98
1314,4.17,2.00
1315,4.42,2.00
1316,4.12,1.99
1317,3.98,1.98
1318,5.24,2.31
1319,5.22,2.28
1320,4.30,2.17
1321,4.25,2.09
1322,4.23,1.86
1323,5.24,1.94
1324,4.20,1.99
1325,4.51,2.04
1326,5.97,2.31
1327,5.97,2.47
1328,4.17,1.99
1329,6.78,3.32
1330,4.17,1.94
1331,4.22,1.93
1332,4.14,2.05
1333,4.29,2.06
1334,5.34,2.37
1335,5.30,2.52
1336,4.14,2.18
1337,4.27,2.24
1338,4.51,2.36
1339,5.37,2.14
1340,4.58,2.64
1341,5.62,2.75
1342,7.11,5.16
1343,6.62,5.36
1344,4.93,2.06
1345,4.47,2.08
1346,4.52,2.00
1347,4.65,1.97
1348,4.10,2.17
1349,4.21,2.08
1350,5.58,2.43
1351,5.50,2.41
1352,4.54,2.06
1353,4.59,2.48
1354,4.53,2.37
1355,4.75,2.05
1356,4.73,2.06
1357,4.69,2.00
1358,6.36,3.14
1359,5.83,3.11
1360,4.58,2.04
1361,4.65,2.10
