n,ijk,ikj,kij,kji,jki,jik
328,22.75,9.42,7.35,44.94,38.19,0.16
329,22.89,8.84,6.66,38.43,36.78,0.18
330,23.14,8.68,6.68,32.30,30.53,0.15
331,23.24,8.96,6.61,33.14,30.17,0.15
332,22.77,10.25,6.86,33.38,30.50,0.13
333,23.94,9.78,7.40,34.36,31.60,0.15
334,25.68,9.66,6.72,50.16,49.29,0.23
335,25.47,8.85,6.57,49.93,49.74,0.21
336,23.79,9.67,6.85,36.70,33.80,0.14
337,24.09,9.69,6.95,37.19,34.82,0.16
338,25.19,9.66,7.08,37.99,34.71,0.16
339,24.53,8.91,7.44,38.76,35.85,0.18
340,25.36,10.80,7.27,66.67,54.24,0.30
341,24.14,10.41,7.77,54.12,48.64,0.18
342,23.16,9.86,7.73,36.83,35.83,0.14
343,26.18,11.31,7.66,37.23,35.23,0.15
344,26.00,10.86,7.65,40.13,39.09,0.16
345,26.77,10.13,9.27,43.62,44.01,0.18
346,29.19,13.78,9.01,44.02,40.83,0.24
347,26.52,11.05,8.42,42.58,40.75,0.20
348,27.60,13.49,8.77,45.00,43.11,0.18
349,28.91,12.00,8.96,45.82,43.02,0.20
350,38.62,13.15,8.79,83.33,83.14,0.30
351,36.90,12.05,7.80,79.84,79.24,0.26
352,27.18,11.36,7.89,46.96,44.97,0.16
353,28.13,10.69,8.17,48.51,45.89,0.16
354,29.15,12.87,8.57,48.94,48.23,0.21
355,28.95,11.88,9.21,49.86,46.81,0.17
356,28.27,13.48,9.73,51.36,47.69,0.18
357,31.86,11.80,9.24,52.70,56.02,0.40
358,33.88,14.90,10.86,51.34,50.09,0.20
359,31.42,12.52,10.01,52.27,51.15,0.21
360,30.71,12.40,9.55,56.11,55.02,0.27
361,31.31,10.68,11.04,55.72,52.02,0.25
362,30.62,13.04,10.26,56.21,51.47,0.18
363,29.91,13.64,9.86,54.90,52.76,0.24
364,29.94,12.49,9.39,55.56,50.64,0.17
365,29.94,12.37,9.49,59.67,69.98,0.29
366,60.91,15.24,10.54,79.25,76.34,0.33
367,44.09,14.54,11.10,81.69,75.73,0.29
368,34.11,14.62,10.84,75.54,68.59,0.22
369,33.68,13.11,10.26,64.86,60.54,0.22
370,34.45,14.14,11.77,69.98,65.81,0.29
371,35.68,13.47,12.16,65.09,63.77,0.33
372,36.24,14.10,11.55,62.57,58.95,0.19
373,32.35,11.81,10.82,66.39,66.60,0.30
374,37.09,15.57,12.33,66.05,62.88,0.22
375,33.59,13.77,10.41,64.04,61.12,0.22
376,33.82,14.38,12.06,72.07,69.17,0.25
377,40.17,13.93,11.87,72.29,65.39,0.22
378,35.76,12.60,10.68,67.17,64.32,0.27
379,39.25,16.58,13.23,75.25,70.21,0.47
380,39.05,14.26,13.04,72.31,66.35,0.30
381,36.95,15.90,12.59,72.53,67.21,0.26
382,50.32,12.95,12.20,141.62,139.64,0.42
383,49.56,12.76,12.39,142.36,139.66,0.42
384,37.50,14.59,13.60,74.01,69.23,0.22
385,37.98,14.42,12.71,75.15,70.91,0.35
386,37.95,14.07,12.30,77.42,72.40,0.25
387,37.54,13.39,12.75,78.17,73.09,0.25
388,40.62,15.12,13.10,81.06,78.00,0.31
389,42.98,15.96,14.23,84.43,81.99,0.30
390,41.81,17.42,14.49,82.44,75.08,0.25
391,38.18,15.89,12.74,78.95,77.24,0.31
392,38.79,16.27,12.78,81.22,74.92,0.25
393,42.85,15.44,14.98,87.68,82.58,0.28
394,42.06,16.60,15.28,88.20,80.85,0.28
395,44.63,15.15,15.32,87.89,83.74,0.34
396,44.11,17.76,13.88,92.86,88.15,0.28
397,43.72,17.06,16.01,98.73,89.45,0.39
398,65.10,19.44,16.49,116.88,108.59,0.37
399,55.78,17.16,14.02,110.65,108.23,0.38
400,45.87,18.66,16.21,96.28,94.34,0.35
401,46.29,16.50,14.88,93.28,88.75,0.29
402,45.05,17.65,15.12,93.12,84.71,0.41
403,42.86,15.70,15.24,91.93,86.28,0.30
404,43.13,17.54,15.79,93.02,83.80,0.26
405,41.77,16.32,15.49,94.56,85.68,0.26
406,41.95,18.49,16.20,92.24,85.61,0.24
407,46.12,19.51,16.33,95.37,91.45,0.31
408,47.39,17.91,15.93,96.66,98.38,0.57
409,58.09,17.36,16.61,97.61,91.15,0.30
410,47.07,17.50,16.17,96.75,92.09,0.31
411,48.56,19.28,18.37,106.40,96.85,0.37
412,46.39,19.87,17.25,107.06,99.08,0.30
413,48.69,18.05,17.89,101.02,90.69,0.27
414,67.28,19.25,17.75,141.80,144.53,0.47
415,69.55,20.19,17.86,146.28,142.93,0.61
416,50.41,19.82,16.75,107.40,96.97,0.31
417,49.88,18.99,17.54,107.36,101.65,0.41
418,53.03,21.08,19.81,111.89,104.28,0.37
419,52.61,18.50,19.64,112.82,111.32,0.38
420,52.13,21.46,19.98,109.98,107.95,0.35
421,57.83,21.55,20.91,126.50,116.74,0.38
